"Ipa File","Name","Producer","Name of executable","Game engine used"
"./8 Ball Pool 3.1.4.ipa","8 Ball Pool","Miniclip.com","pool","other"
"./Adventure 1.3.1.ipa","","Haypi Co., Ltd.","BattleShip","Cocos2d"
"./Animal Voyage 1.34.ipa","rescuerangers","Pocket Gems, Inc.","rescuerangers","Cocos2d"
"./Bahamut 6.0.4.ipa","Bahamut","Mobage, Inc.","Bahamut","other"
"./Bingo 1.7.3.ipa","Bingo","Shark Party","Bingo","other"
"./Bingo Bash™ featuring Wheel of Fortune® Bingo and more! 1.40.17.ipa","Bingo Bash™ featuring Wheel of Fortune® Bingo and more!","BitRhymes Inc.","Bingo Bash","other"
"./Bingo Blitz 2.95.0.ipa","Bingo Blitz","Buffalo Studios, LLC","Bingo Blitz","other"
"./Blitz 1.6.6.ipa","Blitz","PopCap","BejBlitz","other"
"./Boom Beach 20.45.1.ipa","Boom Beach","Supercell","Boom Beach","other"
"./BubbleWitch2 1.18.1.ipa","BubbleWitch2","King.com Limited","bubblewitchsaga2","Fiction Factory"
"./Caesars Slots 1.30.2.ipa","Caesars Slots","Playtika LTD","CaesarsSlots","other"
"./Camp 2.9.0.ipa","Camp","PennyPop","Monsters","Cocos2d"
"./Candy Crush 1.35.16.ipa","Candy Crush","King.com Limited","stritz","Fiction Factory"
"./Candy Crush 1.45.1.ipa","Candy Crush","King.com Limited","candycrushsaga","Fiction Factory"
"./Casino 8.1.2.ipa","Casino","Big Fish Games, Inc","Big Fish Casino","Cocos2d"
"./Castle Clash 1.4.0.ipa","Castle Clash","IGG.COM","castleclash","Cocos2d"
"./Champions 1.1.0.ipa","Champions","Kabam","marvelbattle","Unity3d"
"./Clash of Clans 6.407.8.ipa","","Supercell","Clash of Clans","other"
"./Clash of Lords 2 2.0.9.ipa","Clash of Lords 2","IGG.COM","col2en","Cocos2d"
"./Commander 2.4.4.ipa","Commander","Disney","starts","Unity3d"
"./ContractKiller 1.2.0.ipa","ContractKiller","Glu Games Inc.","contractkiller3","Unity3d"
"./Cookie Jam 3.30.104.ipa","Cookie Jam","SGN","match","other"
"./Cooking Fever 1.3.ipa","Cooking Fever","Nordcurrent","Cooking Fever","other"
"./Covet 2.15.72.ipa","Covet","Crowdstar Inc","Covet","other"
"./Criminal Case 1.4.1.ipa","Criminal Case","Pretty Simple","CriminalCase","Cocos2d"
"./Crossy Road 1.1.19.ipa","Crossy Road","HIPSTER WHALE","crossy","Unity3d"
"./CSR Racing 2.5.0.ipa","csr4c3","NaturalMotion","csr4c3","Unity3d"
"./Diamond Dig 1.11.0.ipa","Diamond Digger","King.com Limited","diamonddiggersaga","Fiction Factory"
"./DoubleDown 3.5.2.ipa","DoubleDown","Double Down Interactive","DoubleDown","other"
"./DoubleU 3.2.0.ipa","DoubleU","DoubleUCasino","DoubleUCasino","Cocos2d"
"./DragonCity 3.0.3.ipa","DragonCity","Social Point","DragonCity","Cocos2d"
"./Dragons 4.4.0.ipa","Dragons","Kabam","Dragons","Unity3d"
"./Elemental K. 1.6.3.ipa","Elemental K.","fedeen games","elementalkingdoms","Unity3d"
"./Empire 1.15.67.ipa","EmpireFourKingdoms","Goodgame Studios","EmpireFourKingdoms","other"
"./Empire Z 0.1.3.ipa","Empire Z","Ember Entertainment","StainZ","other"
"./Family Guy 1.6.7.ipa","Family Guy","TinyCo, Inc.","familyguy","other"
"./Farm Heroes Saga 2.19.4.ipa","Farm Heroes Saga","King.com Limited","farmheroessaga","Fiction Factory"
"./FarmVille 2 2.6.175.ipa","FarmVille 2","Zynga Inc.","FarmVille2CountryEscape","Unity3d"
"./Free Fall 2.4.0.ipa","Free Fall","Disney","frozensaga","Unity3d"
"./FreePlay 5.11.0.ipa","FreePlay","Electronic Arts","SIMS3_UNIVERSAL","other"
"./Game of War 2.12.226.ipa","Game of War","Machine Zone, Inc","ody","Web App/libRocket"
"./GSN Casino 3.10.0.ipa","GSN Casino","Game Show Network","gsncasino","Unity3d"
"./Gummy Drop! 1.4.1.ipa","Gummy Drop!","Big Fish Games, Inc","TravelMatch","other"
"./Hay Day 1.22.153.ipa","","Supercell","Hay Day","other"
"./Heart of Vegas 2.0.947.ipa","Heart of Vegas","Product Madness","HoVMobile","other"
